strain,day,mean_b,genotype,age,intrinsic_growth_rate
ECA363,Day 4,30,divergent,6,0.868974701653598
ECA363,Day 5,12,divergent,7,0.753870532870916
ECA594,Day 1,39.6,swept,3,1.22627637275348
ECA594,Day 2,116.6,swept,4,1.2627843093514
ECA594,Day 3,56.4,swept,5,1.07188249318157
ECA594,Day 4,13.6,swept,6,0.903569927280337
ECA594,Day 5,3.6,swept,7,0.776744195059236
ECA710,Day 1,9.33333333333333,divergent,3,0.744530740502365
ECA710,Day 2,68.3333333333333,divergent,4,1.0881065412244
ECA710,Day 3,40.3333333333333,divergent,5,0.954136924893133
ECA710,Day 4,1.66666666666667,divergent,6,0.797451683303362
ECA710,Day 5,1.33333333333333,divergent,7,0.685112935085249
ECA745,Day 1,40.8,divergent,3,1.23622736047004
ECA745,Day 2,90.4,divergent,4,1.2191807191275
ECA745,Day 3,42,divergent,5,1.03088939922567
ECA745,Day 4,14,divergent,6,0.872029594007249
ECA745,Day 5,7,divergent,7,0.752698365122461
JU1530,Day 1,31.8,swept,3,1.15315542992871
JU1530,Day 2,124.2,swept,4,1.26246400181238
JU1530,Day 3,107.4,swept,5,1.11473475786184
JU1530,Day 4,39.4,swept,6,0.952178753593882
JU1530,Day 5,4.8,swept,7,0.818400033947356
JU1568,Day 1,33.6,swept,3,1.17150868898972
JU1568,Day 2,115.2,swept,4,1.25065078059975
JU1568,Day 3,75.2,swept,5,1.08232921037101
JU1568,Day 4,27,swept,6,0.920908823188631
JU1568,Day 5,5.8,swept,7,0.792613938830829
PS2025,Day 1,36.8,swept,3,1.2018326150583
PS2025,Day 2,124.2,swept,4,1.27035109124612
PS2025,Day 3,54,swept,5,1.07412760562553
PS2025,Day 4,17.4,swept,6,0.908076670829626
PS2025,Day 5,7.4,swept,7,0.782829320370488
CX11264,Day 1,22,swept,3,1.03034748445277
CX11264,Day 2,88,swept,4,1.1751200914481
CX11264,Day 3,55.25,swept,5,1.02149189574636
CX11264,Day 4,26.25,swept,6,0.875814634770117
CX11264,Day 5,17.5,swept,7,0.763190607423544
ECA189,Day 1,35,divergent,3,1.18511602049647
ECA189,Day 2,125.25,divergent,4,1.26918377395019
ECA189,Day 3,62.5,divergent,5,1.08121001327018
ECA189,Day 4,10.75,divergent,6,0.908863679518159
ECA189,Day 5,2.75,divergent,7,0.780698652339122
ECA372,Day 1,28.4,divergent,3,1.11546304838905
ECA372,Day 2,127.2,divergent,4,1.26182215293607
ECA372,Day 3,80.8,divergent,5,1.09310505710639
ECA372,Day 4,8.6,divergent,6,0.916876368424121
ECA372,Day 5,1.2,divergent,7,0.786592030535765
ECA812,Day 1,16.3333333333333,divergent,3,0.931069336480839
ECA812,Day 2,87.6666666666667,divergent,4,1.16109772478534
ECA812,Day 3,79,divergent,5,1.04189723056828
ECA812,Day 4,28.3333333333333,divergent,6,0.892239444294853
ECA812,Day 5,18.6666666666667,divergent,7,0.776868472703314
ECA923,Day 1,24,swept,3,1.05935127678265
ECA923,Day 2,100.5,swept,4,1.20607642897619
ECA923,Day 3,72.75,swept,5,1.0568943919452
ECA923,Day 4,21.5,swept,6,0.897988254206287
ECA923,Day 5,8.25,swept,7,0.7749928596402
JU1586,Day 1,9.2,swept,3,0.739734494684998
JU1586,Day 2,84.8,swept,4,1.1358236955675
JU1586,Day 3,80,swept,5,1.03181105984291
JU1586,Day 4,38.8,swept,6,0.893392126244582
JU1586,Day 5,5.8,swept,7,0.769606225106063
JU406,Day 1,20.2,swept,3,1.00189420146905
JU406,Day 2,102.8,swept,4,1.2030460888431
JU406,Day 3,67.8,swept,5,1.05024515180284
JU406,Day 4,20,swept,6,0.891818302777868
JU406,Day 5,9.6,swept,7,0.770777725325537
JU440,Day 1,18.4,swept,3,0.970783554871647
